book,text,label
OOP_s_pom_ Python.pdf,К РАТКОЕ  СОД Е РЖ А НИЕ,1
OOP_s_pom_ Python.pdf,Об авторе    . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   6,1
OOP_s_pom_ Python.pdf,О техническом авторе   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   7,1
OOP_s_pom_ Python.pdf,Благодарности   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   17,1
OOP_s_pom_ Python.pdf,Введение   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   19,1
OOP_s_pom_ Python.pdf,Часть I. Введение в объектно- ориентированное ,1
OOP_s_pom_ Python.pdf,программирование ,1
OOP_s_pom_ Python.pdf,29,1
OOP_s_pom_ Python.pdf,1. Процедурные примеры Python   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   31,1
OOP_s_pom_ Python.pdf,2. Моделирование физических объектов с помощью ,1
OOP_s_pom_ Python.pdf,объектно- ориентированного программирования   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   55,1
OOP_s_pom_ Python.pdf,3. Мысленные модели объектов и значение self   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   89,1
OOP_s_pom_ Python.pdf,4. Управление несколькими объектами   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   101,1
OOP_s_pom_ Python.pdf,Часть II. Графические пользовательские ,1
OOP_s_pom_ Python.pdf,интерфейсы с pygame ,1
OOP_s_pom_ Python.pdf,139,1
OOP_s_pom_ Python.pdf,5. Введение в pygame    . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   141,1
OOP_s_pom_ Python.pdf,6. Объектно- ориентированный pygame   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   183,1
OOP_s_pom_ Python.pdf,7. Виджеты pygame GUI    . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   211,1
OOP_s_pom_ Python.pdf,"Часть III. Инкапсуляция, полиморфизм ",1
OOP_s_pom_ Python.pdf,и наследование ,1
OOP_s_pom_ Python.pdf,233,1
OOP_s_pom_ Python.pdf,8. Инкапсуляция   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   235,1
OOP_s_pom_ Python.pdf,9. Полиморфизм    . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   263,1
OOP_s_pom_ Python.pdf,10. Наследование    . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   297,1
OOP_s_pom_ Python.pdf,"11. Управление памятью, используемой объектами    . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   335",1
OOP_s_pom_ Python.pdf,Часть IV. Использование ООП в разработке игр ,1
OOP_s_pom_ Python.pdf,363,1
OOP_s_pom_ Python.pdf,12. Карточные игры   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   365,1
OOP_s_pom_ Python.pdf,13. Таймеры   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   381,1
OOP_s_pom_ Python.pdf,8   Краткое содержание,1
OOP_s_pom_ Python.pdf, 14. Анимация   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   399,1
OOP_s_pom_ Python.pdf,15. Сцены   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   419,1
OOP_s_pom_ Python.pdf,16. Полноценная игра: Dodger   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   457,1
OOP_s_pom_ Python.pdf,17. Шаблоны проектирования и резюме   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   491,1
OOP_s_pom_ Python.pdf,Предметный указатель   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   503,1
OOP_s_pom_ Python.pdf, ПОД РОБНОЕ СОД Е РЖ А НИЕ ,1
OOP_s_pom_ Python.pdf,Об авторе    . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   6,1
OOP_s_pom_ Python.pdf,О техническом авторе   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   7,1
OOP_s_pom_ Python.pdf,Благодарности   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   17,1
OOP_s_pom_ Python.pdf,Введение   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   19,1
OOP_s_pom_ Python.pdf,Для кого эта книга?    . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   20,1
